ReviewBody,subjetivo,polaridade
"['Carne generosa , suculenta e acompanhamentos deliciosos e à vontade.']",1,1
['Garçons prestativos e atenciosos.'],1,1
['Valeu muito a pena pela qualidade.'],0,1
['Voltaremos com certeza.'],1,1
"['Os pratos acompanham salada, acompanhamentos e sobremesa.']",0,0
"['É um restaurante típico, super aconchegante, pedimos uma mariscada.']",1,-1
['.. deliciosa!'],1,1
['Preço médio.'],1,-1
['.'],0,0
['Atendimento excelente.'],0,0
['.. gosto de lugares que valorizam a própria cultura.'],0,0
['A Bahia é linda e está muito bem representada!'],1,1
"['Lugar para um nome delicioso café com um Cokies muito especial o atendimento faz muito a diferença, sempre que vou ao shopping São Luís é ponto de para obrigatório .']",1,1
"['Da recepção inicial ao final da conta, o restaurante é ótimo.']",1,1
"['Atendimento impecável, pois é educado, simpático e te ajuda na escolha de tudo que você quer pedir quando é sua primeira visita.']",1,1
['O Bar é sensacional.'],1,1
"['Sem dúvida, o melhor Moscow mule do Rio de Janeiro!']",1,1
['Parabéns a toda equipe do bar.'],0,0
['O preço é justo para a qualidade é o atendimento.'],1,1
['A comida é MUITO BOA é o atendimento é perfeito.'],1,1
"['Por favor, continuem assim, OIA.']",0,0
"['O Rio precisa de lugares com esta qualidade, atendimento e este astral.']",0,0
['Parabéns!!!!!!'],0,0
"['Hoje, para mim, é um dos melhores restaurantes do Rio!']",1,1
"['Atendimento ruim, os garçons estão despreparados, os pratos são gostosos, já os drinks são razoáveis.']",1,1
"['O cardápio e a carta de vinhos, aliados ao atendimento e o novo endereço no Flamboyant comprovam a bela administração do Piquiras,']",1,1
['Atendimento péssimo no horário de almoço durante a semana.'],1,-1
['Comida cara e com porções pequenas.'],1,-1
"['Trouxeram minha conta errada,prato do dia estava  na promoção em uma tábua na rua e quando a conta chegou estavam cobrando o preço do cardápio original.']",1,-1
['É uma das melhores opções de Porto Alegre para comer uma boa massa.'],1,1
['O atendimento é excelente fui atendido pelo garçom Gilson.'],1,1
['O local fica no centro de Porto Alegre.'],0,-1
['Recomendo ir de táxi ou uber.'],0,0
"['Gostei muito do ambiente: uma casa antiga com muitos quadros, excelente para um jantar com um bom vinho.']",1,1
"['A melhor hamburgueria de João Pessoa poderia estar instalada em Manhattan, dado o seu estilo e a sua cozinha impecáveis.']",1,1
['A mistura de ingredientes requintados e deliciosos torna a experiência muito aprazível e pede muitas voltas.'],1,1
['excelente ambiente e tempero maravilhoso.'],1,1
['Os garcçons são bastante organizados e atenciosos e o valor não é  muito alto.'],1,1
"['Excelentes opções de pratos, preços justos, atendimento na medida e ambiente super agradável.']",1,1
"['Erraram no prato infantil da minha filha mas deixaram de cobrar, o que foi muito justo!']",1,1
['Esta é nossa segunda visita e com certeza voltaremos mais vezes!'],0,1
['Melhor bar e choveria para ir aos finais de semana!'],1,1
"['Sempre excelentes comidas e petiscos para todos os gostos, frango, parmegianas, peixes e vários outros.']",1,1
['E nas sextas e domingos tem o DJ MK Jay tocando uma seleção de House para animar o fim de semana!'],0,0
"['localizado em um quiosque no meio da quadra no sudoeste, oferece comida boa, barata e cerveja gelada.']",1,1
['ambiente agradável'],1,1
['Eu acho este lugar incrível.'],1,1
"['As carnes são ótimas, não ha uma variedade muito grande, mas a qualidade do que é servido é muito, muito, bom.']",1,1
"['O preço de uma refeição completa com mais ou menos duas cervejas, entrada, prato principal, licor, cafe e sobremesa para dois sai por aprox.']",1,1
"['R$ 350,00.']",0,0
"['Não é para todo bolso, mas vale a pena.']",0,1
"['Lugar agradável, com música ao vivo de qualidade.']",1,1
['Pratos deliciosos e variados.'],1,1
['Bom ambiente para família e amigos.'],1,1
"['Ambiente agradável, funcionários gentis, comida saborosa.']",1,1
"['Observação se o cliente for usar cupom de desconto pois os horários são diferentes, o que acho absurdo.']",1,-1
"['Esquina é bom para sair com os amigos, tem um ambiente propicio para uma boa conversa e uns drinks, vale a pena para relaxar depois de um  dia corrido nessa cidade louca haha']",1,1
['Um restaurante que oferece um bom custo benefício.'],1,1
['Comida gostosa.'],1,1
"['Não é um rodízio muito variado, mas atende bem com o básico.']",1,-1
['Atendimento muito bom.'],1,1
['Recomendo.'],0,0
['20 biqueiras de cerveja.'],0,0
"['Vários tipos, para agradar a todos.']",1,0
"['Muita qualidade, tanto nas cervejas, quanto no atendimento.']",0,0
['Vale a pena visitar e virar cliente!'],1,1
"['Se o Fábio indicar uma cerveja, vá na dele.']",0,0
['Raramente não acerta!'],1,1
['O restaurante por si so ja vale a visita.'],0,1
['Arquitetura exuberante.'],1,1
"['Afora isso os pratos sao extremamente saborosos e bem servidos, atendem facilmente a 3 pessoas.']",1,1
"['Ambiente muito agradável, climatizado,atendimento Cortez e atencioso,pratos deliciosos,ótimo pra reunir família ou amigos.']",1,1
['Excelente restaurante temático e ainda possui lembrancinhas que podemos comprar na saida do mesmo!'],1,1
['Possui esquema de kg e mta variadade de comida tipica.'],1,-1
['COMIDA MARAVILHOSA!'],1,1
['Com certeza indicaria e voltaria lá.'],1,0
['Proximo aos principais hoteis proximo a praia e alguns hoteis possuem esquema de traslado para o mesmo.'],1,1
['..'],0,0
"['Ambiente agradável, atendimento bom !!']",1,1
['Pratos para todos os gostos.'],0,0
['... de entrada a casquinha de Siri é uma ótima opção !!!'],1,1
"['pedi o famoso ""chiclete de camarão"" que vem 5 opções de queijo e achei muito gostoso (enquanto quente, quando esfria o queijo fica duro e enjoativo) as outras pessoas que estavam comigo experimentaram o esperto de lagosta (TOP), camarão ao catupiry (TOP tbm), camarão na manteiga com ervas da horta (excelente) e filet mignon ao molho vinho e pimenta verde com talharim ao molho parmesão (carne um pouco dura) de sobremesa pétit gateau (muito bom) e mousse de maracujá com doce de manga rosa e sorvete de tapioca (delicia de sobremesa típica) enfim , vale a pena !']",1,1
['Super recomendo!'],1,1
['Este restaurante é muito conhecido pela qualidade da sua comida.'],0,0
['A especialidade são os frutos do mar.'],0,0
['A moqueca de camarão é muito boa.'],1,1
"['Lugar maravilhoso, comida de qualidade.']",1,1
"['O preço não é barato, mas quem preza por uma excelente refeição vale muito a pena.']",1,1
"['Toda vez, que estou em Aracaju,eu almoço lá.']",0,0
['Vale a pena ir  na sal e brasa.'],0,1
"['Variedade de carnes, saladas, e buffet.']",0,0
['Mas  Tem dias a noite q deixa a desejar.'],0,0
['Preço altíssimo nas bebidas e sobremesas.'],1,1
['E ainda cobra couvert artístico por pessoa.'],1,1
"['O que acho que deveria ser opcional, e não obrigatório.']",0,0
"['Excelente lugar para você apreciar aquela picanha suculenta, ótimo atendimento, ambiente climatizado para você saborear uma deliciosa picanha no bafo.']",1,1
['Excelente atendimento feito pelo Iago.'],1,1
['Muito obrigada pela atenção.'],1,1
['Restaurante com ótima qualidade e atendimento.'],1,1
"['Almocei  neste restaurante por  ser o primeiro que apareceu pois estava com pressa para apanhar o avião, porém valeu muito pois desde a patola de caranguejo até ao cabrito no forno , estava todo muito bom embora a carta de vinhos ( parece geral em todos os restaurantes da região os vinhos são caros) fosse além do normal em questão de preço.']",1,1
['O dono espanhol de Vigo muito atencioso.'],1,1
"['A comida é muito gostosa mas o ponto alto é o atendimento, fomos atendido pela luzicleide e pelo marinaldo ambos são muito prestativos e atenciosos.']",1,1
"['Lugar e música agradáveis, vale a volta.']",1,1
"['O único ponto de melhoria é que pedimos o camarão recheado com catupiry, apesar de eles terem usado um requeijão gostoso não era catupiry.']",1,0
"['Ótimo restaurante, sendo uma boa pedida para quem come pouco.']",1,1
['Bifê bastante variado e com sobremesas deliciosas.'],1,1
['Atendimento ótimo!'],1,1
['E moqueca muito boa.'],1,1
['Ambiente bem descontraído excelente custo.'],1,1
['benefício.'],0,0
['Para quem não come muito 1 moqueca é suficiente para 3 pessoas!'],1,1
"['Barraca de praia que serve principalmente frutos do mar, possui uma estrutura razoável mas dentro do necessário para um apoio na praia.']",1,1
"['Servem pratos regionais executivos tendo opções avulsas de porções como o Cuxá, Arroz de Toucinho,  Vatapá e Farofa com Caranguejo.']",1,0
['Foi ao manekineko (casa shopping) com minha esposa e mais uma vez fomos atendidos de forma excepcional.'],1,1
['Gostaria de parabenizar toda equipe de funcionarios em especial ao garçon Tadeu e ao gerente Rafael que nos atenderam de forma exemplar.'],1,1
['Voltaremos mais vezes devido ao atendimento que nos foi dado.'],1,1
"['Fomos num sábado, ambiente elegante, equipe gentil e simpática.']",1,1
"['Comemos um curry bem gostoso, mas o filé não era filé.']",1,1
['A sobremesa (wonton de abacaxi com geléia de pimenta e sorvete) estava ótima.'],1,1
"['Apesar de não pertencer ao público principal da casa (gamers), fiquei muito satisfeita com o ambiente, o atendimento, os drinks e petiscos.']",1,1
['Vale muito a pena.'],0,1
"['Se tratando de uma casa do Fasano, a expectativa é sempre alta.']",1,1
['E o Parigi Bistrot não decepciona.'],0,0
['Atendimento muito atencioso e cortês.'],1,1
['Serviço impecável com muita consistência.'],1,1
"['Os pratos vieram no tempo correto, com excelente apresentação.']",1,1
['Atendimento no bar durante a espera muito bom.'],1,1
['Boa carta de vinhos.'],1,1
"['O preço é salgado, mas vale pela experiência e excelência nos pratos.']",0,1
"['Almoço de sábado, sem fila, ambiente muito agradável e fofo, atendimento ótimo.']",1,1
"['Pedimos uma lasanha de camarão com queijo brie pra 2, que estava ótima, e uma lasanha de bacalhau, que também estava gostosa mas tinham algumas espinhas que incomodaram.']",1,1
['De sobremesa o pavê bottino é dos deuses!'],0,0
['Ótima comida italiana!'],1,1
['!'],0,0
"['Restaurante sofisticado, com bela vista, situado no shopping cidade jardim.']",1,1
['Cardápio focado pratos italianos.'],0,0
['Em todas visita que fizemos estava excelente!'],1,1
"['Carta de vinhos, boa, acho valor pouco elevados valores dos vinhos,  comparado com outros restaurantes,  mas não tira brilho.']",1,1
['Vale muito a visita'],0,1
['Um dos melhores restaurante que ja fui em São Paulo.'],1,1
"['O ambiente é simples e agradavel, o patio no fundo é muito aconchegante.']",1,1
"['O serviço é atencioso e cordial, como dever ser e ao nivel do restaurante.']",1,1
"['Para uma primeira vez vale o menu degustação, onde é possivel apreender o cardapio e justo de valor pela excelencia dos pratos.']",1,1
"['Os bombons de entrada, a lula, cordeiro e tuberculos.']",0,0
['.. muito muito bom.'],1,1
"['Comida boa bom churasco, a casa serve tambem comida Japonesa, porem o ``senhor que nos recepciona Sr Hugo`` não foi honesto na decrição dos valores, pois minha esposa nao come churrasco e foi me dito um preço por kilo na comida japonesa porem na hora de pesar era outro, ele veio com desculpas esfarrapadas e passou a ser antipático ou seja fiquem experto!!']",1,1
['!'],0,0
"['Umas das melhores,  se não, a melhor esfiha de SP.']",1,1
['Super recomendo.'],1,1
"['A esfiha é feita na hora, quentinha, impossível não pedir mais!!']",1,1
['Vá e certamente voltará!'],1,1
"['Era muito bom  pena que a qualidade despencou,  estive jantando lá semana passada e infelizmente constatei que o KAWA não é mais o mesmo.']",1,1
"['Peixe servido não era nada fresco, comida em geral fria, shimeji totalmente frio e salgado, excesso de arroz nos sushis, atendimento dos funcionários deixou a desejar.']",1,-1
['Ainda bem que São paulo tem outras opções.'],1,1
['NÃO RECOMENDO !'],0,0
['Melhor sorveteria da cidade!!!!!!'],1,1
"['Vale muito a pena, principalmente após um passeio a beira mar.']",1,1
['Venham conhecer.'],0,0
['Um ótimo lugar para comer um bom churrasco.'],1,1
['Os preços são razoáveis e o rodízio de pizza tbm não deixa a desejar no cardápio.'],1,1
"['O melhor do restaurante, é sem dúvidas, o bom atendimento e a temática do ambiente.']",1,1
['Lugar bom e bonito.'],1,1
['Comida bem preparada.'],0,0
"['Atendimento eficiente, preço na média de outros lugares.']",1,-1
['Super indico !'],1,1
"[""Domino's é Domino's!""]",0,0
"['Mas, neste caso, é preferível ligar ou retirar no balcão do que planejar comer no restaurante!']",1,1
"['Copos de Plástico, Mesas Sujas, Atendimento bem fraco!']",1,-1
"['Quando pedi para me embrulharem a outra metade da pizza para viagem, me deram uma caixa e nada mais!']",1,-1
"['Fiquei esperando, mas, nenhuma reação da outra parte em servir ao cliente!']",1,-1
['Fraco!'],1,-1
"['Excelente rodizio, Buffet variado e excelente  ambiente familiar .']",1,1
"['Voce não pode deixar xe experimentar o pure de macaxeira, a farofa e os doces.']",1,1
['Cada dia que vou na Quitinete me apaixono mais pela comida!'],1,1
"['O ambiente é bem aconchegante, com certeza recomendo!']",1,1
"['Sanduíche bom e costelinha tbm, preço um pouco elevado para o tipo de comida porém a comida é boa o atendimento tbm!']",1,1
['Vale a pena conhecer!'],0,1
"['restaurante agradável,atedimento muito bom, ótima comida com preço justo, excelente localização.']",1,1
['voltarei mais vezes.'],1,1
['..'],0,0
['Coco Bambu é sempre uma boa opção!'],1,1
['A última vez que fomos jantar foi para comemorar o aniversário de uma amiga.'],0,0
"['O ambiente é super aconchegante, bom atendimento e a comida deliciosa.']",1,1
"['Contudo, se houver promoções para compras coletivas deve-se ter mais cautela e paciência porque o restaurante lota e o atendimento e a comida podem demorar.']",1,1
['Muito bom.'],1,1
['Acho que nas mesas deveria ter um pouco mais de iluminação.'],1,1
['Bom o serviço do bar fazendo sucos personalizados para meus filhos.'],1,1
['Muito sashimi!!'],1,1
"['Não acredito em sushi sendo sinônimo de preço muito alto, mas lá o preço é muito alto, sendo o ponto negativo.']",1,1
['ambiente agradável e comida deliciosa.'],1,1
['Ótimo para quem aprecia um bom vinho acompanhado de uma boa massa.'],1,1
"['Culinária local, uma imensa variedade de peixes e os pratos são excepcionais.']",1,1
"['Recomendo o tambaqui, em seus mais variados preparos, que é muito saboroso.']",1,1
['O atendimento é bom e foi o melhor restaurante que conhecemos em Manaus.'],1,1
"['A comida é regional e bem feita, há bastante opções, o atendimento é impecável, o preço o mesmo de um self-service de shopping algo em torno de 60 reais o quilo.']",1,1
"['O que não concordei foi com sua posição em 1º lugar na cidade, é apenas um bom self-service e na minha opinião comi em pelo menos meia dúzia de lugares melhores!']",1,1
"['Igual a todos os outros, inclusive na falta de limpeza nos banheiros, além de poucos sempre sujos, tem um bom estacionamento é de fácil acesso pra quem esta de carro pra quem esta a pé fica meio deserto a noite']",1,1
"['Estávamos de viagem em SP, hospedados bem próximo ao restaurante, e por esse motivo resolvemos jantar por lá.']",1,1
"['Mesmo sendo segunda feira, e passando das 21:50h, fomos muito bem atendidos pelo João Paulo.']",1,1
['Experiência agradabilíssima!!'],1,1
['Os pratos estavam deliciosos e foram servidos com rapidez.'],1,1
['A música ao vivo foi um brinde a parte!'],1,1
"['Uma otima pedida para sanduiches, para agradar todos os tipois de paladar.']",1,1
['Bom atendimento e otima localização'],1,1
"['Com muita variedade, inclusive para os adeptos de saladas, o restaurante inova diariamente mudando o seu cardápio.']",0,0
"['Fixos, apenas as saladas e seus componentes e os grelhados, todo o resto muda a cada dia.']",1,1
"['De excelente qualidade, embora com preço um tanto salgado, tem bom atendimento, bonito ambiente e espaço aconchegante.']",1,1
['Gostei bastante desse local.'],1,1
['Vale a pena visitar.'],0,1
['Fica na praia de Ipioca.'],0,0
['A entrada é 25 reais.'],0,0
['Há uma excelente estrutura.'],1,1
"['Estive, uma vez mais, no KAMPAI BLUE e fui extremante bem recebido pelo Sr.  NEY, o qual foi de uma presteza e educação dignos de nota.']",1,-1
"['Quanto ao gerente, Sr ARLEY, o mesmo é sempre muito cortês e altamente profissional, mantendo a qualidade do atendimento de sua equipe e qualidade do menu, além de zelar pelo bem estar de todos os clientes.']",1,1
['Parabéns KAMPAI BLUE por contar com colabores desse nível.'],0,0
['Exatamente satisfeito!'],1,1
"['O lugar, muito tradicional, não tem ar condicionado.']",1,0
['Só ventiladores de teto.'],1,0
"['A espera é grande, mas o sabor do prato recompensa.']",1,1
"['Há espaço para crianças brincarem e enquanto espera, você pode pedir petiscos e bebidas.']",0,0
['O prato é bem servido e gostoso.'],1,1
['Legal desse bar são as cervejas artesanais que são fabricadas na hora.'],1,1
['Tem um sabor muito bom.'],1,1
['Eu recomendo a tradicional que eles chamam de Pilsen.'],1,0
"['Local agradável, mas nada de especial no sanduíche, vale a pena conhecer, já repetir fica a cargo de cada um.']",1,1
"['Suco com água de coco, pastel de jaca, docinho de castanhas com cacau e nibs de cacau.']",1,1
['.. A comida vegana mas deliciosa que já comi.'],0,0
['Pretendo voltar.'],1,1
"['Local lindo, agradável, atendimento impecável e comida nota 10!!!']",1,1
['Bolinho de macaxeira com camarão  + Meca grelhado + duo de cocada experimentem!'],0,0
['!'],0,0
['Estávamos no Prodigy ao lado do Bossa Nova Mall e fomos almoçar no Playa Sushi.'],0,0
['Adoramos o Poke!'],1,1
['Sucesso.'],0,1
['Bem feito e preço justo.'],1,1
['Não cheguei a comer nada.'],0,0
['É uma casa de rock que muitas pessoas vão p dançar e paquerar.'],1,1
"['Aos sábados, há open bar das 2h às 4h da manhã.']",1,0
"['Às quintas, há show cover dos beatles.']",0,0
"['A média de bebidas individuais (long neck, drinks, energético) fica entre 10 a 20 reais.']",1,-1
['É legal p ir com amigos se divertir despretensiosamente.'],1,1
"['A entrada é bastante cara(R$50), se vc considerar que não há nada demais na estrutura.']",1,-1
['Porém é garantia de um noite divertida em razão do público.'],1,1
['Fomos atendidos pelo Garçom Anderson a Maitre Marcial e Celio.'],0,0
['P almoço estava uma delícia.'],1,1
['Recomendo o prato carne de sol do Maranhão.'],0,0
"['Excelente restaurante, comida deliciosa e bom atendimento.']",1,1
"['A lasanha tartufo estava perfeita, o bacalhau impecável e o pudim de pistache muito bom.']",1,1
['No Rio Grande do Sul os descendentes de italianos (aqui chamados de Gringos) tem a liderança das churrascarias.'],0,0
"['Contudo, para confirmar que toda regra tem exceção, existe a Churrascaria Schneider tocada por descendentes de alemães.']",0,0
['Segue o modelo daquelas que servem as carnes nas mesas por sistema de rodízio.'],0,0
"['Saladas e algumas entradas numa mesa central, estilo buffet, onde também são encontrados alguns pratos quentes.']",1,1
['O diferencial fica por conta de outro buffet com deliciosos pratos quentes de frutos do mar.'],1,1
"['Impossível provar tudo, tantas são as variedades e no final, para liquidar com qualquer apetite, outra bancada, agora com sobremesas artesanais.']",1,-1
"['Boa Carta de Vinhos, Cervejas geladíssimas, Refrigerantes, Sucos e um expresso para arrematar.']",1,1
['Possui estacionamento próprio com segurança.'],1,1
"['Preço elevado, mas proporcional à qualidade.']",1,1
